VIAL,START,D1,E1,D2,E2,D3,E3,D4,E4,D5,E5,D6,E6,D7
176,15,0,0,0,0,4,0,10,0,1,0,0,0,0
177,15,1,0,0,0,3,0,9,0,1,0,0,0,0
178,15,1,0,0,0,0,0,4,0,7,0,0,3,0
179,15,1,0,1,0,1,0,0,0,1,0,0,0,1
180,15,2,0,0,0,2,0,0,0,0,11,0,0,0
181,15,5,0,1,0,5,0,3,0,1,0,0,0,0
182,14,4,0,0,0,4,0,5,0,0,1,0,0,0
183,15,1,0,1,0,8,0,5,0,0,0,0,0,0
184,15,1,0,0,0,8,0,3,0,2,0,0,0,0
185,15,2,0,4,0,5,0,3,0,1,0,0,0,0
186,15,3,1,3,0,0,0,2,0,3,0,0,0,0
187,15,4,0,2,0,0,9,0,0,0,0,0,0,0
188,15,0,1,1,0,0,0,0,0,1,0,0,0,0
189,15,6,0,1,0,4,0,0,0,4,0,0,0,0
190,14,2,0,0,0,0,0,0,0,0,1,0,0,0
191,15,2,0,0,0,0,1,0,0,1,0,0,0,0
192,15,0,0,0,0,1,0,6,0,0,0,1,0,0
193,15,0,0,0,0,4,1,0,0,3,0,7,0,0
194,15,1,1,0,1,1,0,0,0,0,0,0,0,1
195,15,7,0,1,0,0,0,0,0,0,0,0,0,0
196,15,0,0,0,0,0,0,0,0,3,0,1,0,0
197,15,0,0,0,0,5,0,4,0,2,0,4,0,0
198,15,15,0,0,0,0,0,0,0,0,0,0,0,0
199,15,2,1,0,0,0,0,2,0,0,0,0,0,0
200,15,1,0,3,0,7,0,2,0,2,0,0,0,0
201,15,1,0,1,0,3,0,5,0,4,0,1,0,0
202,15,3,0,1,0,3,0,3,0,5,0,0,0,0
203,15,1,0,0,0,0,14,0,0,0,0,0,0,0
204,15,0,0,3,0,0,12,0,0,0,0,0,0,0
205,15,4,0,0,0,0,0,0,0,0,1,0,0,0
206,16,1,0,0,0,2,1,5,0,3,1,2,0,1
207,15,1,0,0,0,0,0,1,0,3,0,4,0,0
208,15,0,0,0,0,0,0,2,0,8,0,0,5,0
209,15,6,0,2,0,0,0,0,0,1,1,0,0,0
210,15,3,0,2,0,1,0,4,0,3,0,1,0,0
211,15,1,0,0,0,0,1,2,0,0,11,0,0,0
212,16,1,0,1,0,4,0,5,1,3,0,1,0,0
213,15,1,0,1,0,0,0,5,0,8,0,0,0,0
214,15,0,0,1,0,5,0,4,0,3,0,2,0,0
215,15,1,0,1,0,0,0,0,1,0,12,0,0,0
216,15,1,0,0,0,1,0,1,0,7,0,0,0,0
217,15,0,0,0,0,0,0,4,0,8,0,3,0,0
218,15,3,0,1,0,0,0,1,0,10,0,0,0,0
219,15,2,0,2,0,0,0,4,0,3,0,0,0,0
220,15,0,0,0,0,3,0,9,0,3,0,0,0,0
221,15,3,0,2,0,0,0,10,0,0,0,0,0,0
222,15,0,0,0,0,1,0,5,0,5,0,0,0,0
223,15,1,0,0,0,1,0,2,0,7,0,0,0,0
224,15,8,0,3,0,1,0,2,0,1,0,0,0,0
225,15,0,0,0,0,0,0,0,0,0,0,0,0,0
226,15,1,0,0,0,0,0,4,0,4,0,0,0,0
227,15,3,0,0,0,1,0,1,0,1,0,0,0,9
228,15,0,0,0,0,2,0,13,0,0,0,0,0,0
229,13,4,0,1,0,1,0,3,0,1,0,1,0,0
230,15,4,0,0,0,1,0,3,0,7,0,0,0,0
231,12,3,2,0,0,0,0,1,0,0,0,0,0,0
232,15,1,0,1,0,2,0,1,0,4,0,0,0,0
233,15,1,0,0,1,6,0,4,0,2,0,1,0,0
234,15,3,0,2,0,2,0,2,0,1,0,1,0,0
235,15,3,0,2,0,2,0,6,0,2,0,0,0,0
236,15,2,0,1,0,4,0,4,0,2,0,0,0,0
237,15,5,0,0,0,0,0,0,0,0,1,1,0,0
238,15,0,0,2,0,4,0,8,0,1,0,0,0,0
239,15,1,0,1,0,4,0,6,0,1,0,0,0,0
240,15,1,0,0,0,0,0,3,0,6,0,3,0,1
241,15,5,0,0,0,0,0,1,0,0,0,0,0,0
242,13,4,0,0,0,0,9,0,0,0,0,0,0,0
243,15,0,0,1,0,4,0,5,0,5,0,0,0,0
244,15,4,0,1,0,0,0,0,0,10,0,0,0,0
245,15,1,0,1,0,1,0,0,0,0,12,0,0,0
246,15,3,0,0,0,0,0,0,0,1,0,2,0,2
247,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,15,2,0,0,0,4,0,6,0,1,0,2,0,0
249,15,3,0,0,0,3,2,0,0,0,7,0,0,0
250,15,2,1,0,0,2,0,0,0,0,10,0,0,0
251,15,2,0,1,0,0,0,7,0,4,0,1,0,0
252,15,3,0,2,0,0,0,0,0,0,0,1,0,0
253,15,0,0,2,0,5,0,0,0,0,8,0,0,0
254,15,0,0,0,0,0,0,8,0,5,0,1,0,0
255,14,1,0,1,0,0,12,0,0,0,0,0,0,0
256,15,0,0,1,0,3,0,6,0,3,0,0,2,0
257,15,1,0,0,0,2,0,4,0,6,0,0,0,0
258,15,1,0,1,0,1,0,10,0,0,0,2,0,0
259,15,0,0,1,0,13,0,1,0,0,0,0,0,0
260,14,1,1,0,0,0,0,0,0,0,12,0,0,0
261,15,1,0,1,0,1,0,6,0,3,0,0,0,0
262,15,0,0,0,0,1,0,0,1,9,0,0,0,0
263,15,3,0,0,0,1,0,1,0,5,0,0,0,0
264,15,5,0,2,0,0,0,0,0,8,0,0,0,0
265,15,1,0,0,0,0,0,0,0,2,0,3,0,0
266,15,15,0,0,0,0,0,0,0,0,0,0,0,0
267,15,1,0,1,1,4,0,3,0,5,0,0,0,0
268,15,2,0,1,0,3,0,4,0,5,0,0,0,0
269,12,3,0,1,0,1,0,5,0,2,0,0,0,0
270,14,0,0,0,0,0,0,0,0,0,3,0,0,0
271,15,1,1,0,0,5,0,5,0,2,0,0,0,0
272,15,2,0,0,0,7,0,4,0,2,0,0,0,0
273,15,2,0,1,0,4,0,6,0,0,0,2,0,0
274,15,1,1,0,0,0,0,1,0,1,0,0,0,1
275,14,0,0,0,0,0,0,7,0,7,0,0,0,0
276,15,0,0,0,0,0,0,1,0,0,4,0,0,0
277,13,1,0,0,0,0,0,8,0,3,0,0,0,0
278,15,0,0,5,0,2,0,5,0,1,0,0,0,0
279,15,0,0,0,0,3,0,2,0,2,0,0,0,0
280,15,0,0,0,0,1,0,0,0,4,0,0,0,0
