VIAL,START,D1,E1,D2,E2,D3,E3,D4,E4,D5,E5,D6,E6,D7,E7
257,15,2,0,0,2,0,0,3,0,0,0,0,0,0,0
258,15,8,0,1,0,0,0,2,0,0,0,1,0,0,0
259,15,12,0,1,0,0,0,0,0,0,0,0,0,0,0
260,11,5,0,0,0,1,0,2,0,0,0,0,0,0,0
261,15,7,0,1,0,2,0,3,0,1,0,0,0,0,0
262,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0
263,15,0,0,0,0,1,0,3,0,2,0,3,0,2,0
264,14,8,0,0,0,2,0,0,0,1,0,2,0,1,0
265,15,9,0,0,0,0,0,0,0,0,1,0,0,1,0
266,15,1,0,0,0,0,0,2,1,0,0,1,0,2,0
267,14,8,0,0,0,2,1,0,0,2,0,1,0,0,0
268,15,0,0,1,0,1,0,4,0,0,0,0,0,1,0
269,15,4,0,0,0,0,0,0,0,1,0,1,0,0,0
270,15,2,0,0,0,0,0,2,0,0,0,0,0,0,0
271,15,3,0,1,0,2,0,0,0,1,0,0,0,1,0
272,14,6,1,0,1,0,0,0,0,0,0,0,0,0,0
273,14,7,0,3,0,0,0,1,1,0,0,0,0,0,0
274,13,6,0,1,0,0,0,0,0,0,0,0,0,0,0
275,12,1,0,0,0,0,0,2,1,3,0,0,0,1,0
276,15,2,0,2,0,1,0,0,0,3,0,1,0,2,0
277,15,2,0,0,0,1,0,2,0,3,0,1,0,4,0
278,15,4,0,1,0,0,0,0,0,0,0,0,0,0,0
279,15,2,0,1,0,1,0,2,1,1,0,2,0,1,0
280,14,5,0,0,0,0,0,0,0,0,0,1,0,0,1
